ID,TOPIC,LIKES,STARTED,HOWMANYMONTHSOLD,CATEGORY,PROARGUER,CONARGUER
1,Preschool Is A Waste Of Time,22,10/15/2007,160.53333333333333,Education,Phil,Crystal
2,River Rafting Should Not Be Regulated,1,10/15/2007,160.53333333333333,Sports,Phil,Nate
3,George W. Bush is a great President,2,10/15/2007,160.53333333333333,Politics,Phil,Cristy
4,Football Is Better Than Baseball,-2,11/27/2007,159.13333333333333,Sports,Phil,tahoe8
5,The Government Should Not Fund The Arts,1,10/15/2007,160.53333333333333,Arts,Phil,nypuller
6,Man-Made Global Warming Is A Hoax,2,10/15/2007,160.56666666666666,Politics,Phil,qtpi2008
7,Hillary Clinton Will Make A Bad President,0,10/15/2007,160.53333333333333,Politics,Phil,wryan
8,resolved that fraternities be banned in schools.,0,10/16/2007,160.56666666666666,Education,scamp,Nate
10,Birth Control in Middle Schools,0,10/18/2007,160.5,Education,jatl2111,AWyatt951
11,The moral code of the christian religion is violent and hateful.,2,10/18/2007,160.43333333333334,Religion,Harlan,PreacherFred
13,Gay marriage,12,10/18/2007,160.43333333333334,Society,Harlan,tsmart1770
15,Gun control,1,10/18/2007,160.5,Politics,volleynolley,tsmart1770
16,"the fight for justice,equality,peaceand love is futile",0,10/19/2007,160.43333333333334,Society,Joel_Asher,PreacherFred
17,Capitolism,1,10/19/2007,160.4,Society,Phil,Harlan
18,The Canadian government should legalize the use of marijuana,-1,10/20/2007,160.43333333333334,Health,tiamtheelf,chadalawada
20,"Religion, how it contradicts, is judgeful,questionable,and what the true religion could possibly be",0,10/23/2007,160.36666666666667,Religion,wryan,Joel_Asher
26,is physical appearence important part of ur identity,0,10/28/2007,160.43333333333334,Society,wryan,daniyalzubair
27,Media today is sensationalizing news.,2,10/28/2007,160.16666666666666,News,avanti,kingy
29,Are human beings destroying EARTH???,0,10/29/2007,160.13333333333333,Science,fmrock,simonote
31,We should not try to ban flag burning.,-1,10/29/2007,160.13333333333333,Politics,Harlan,Semper-Fi
32,The United States is now a Socialist Society and our Freedoms are disappearing as a result.,0,10/29/2007,160.4,Politics,Warcry,wryan
34,sports and other activities should not be a part of school curriculum,0,10/30/2007,160.13333333333333,Education,wryan,hridul
37,voting materials for U.S citizens should be provided in native languages,0,11/6/2007,159.86666666666667,Society,Retrospace18,durg
38,politics is the topic,0,10/30/2007,160.06666666666666,Politics,james94,mmadderom
40,Patriotism,0,11/1/2007,160.03333333333333,Society,wryan,Harlan
41,Torture is not right,0,11/1/2007,160.0,Politics,Harlan,wryan
43,paris hilton has been using a look alike,0,11/2/2007,160.1,Entertainment,aneesaleh,lvisman96
44,environment not birth makes you who you are,0,11/3/2007,160.0,Society,gameoverholmes666,mmadderom
46,"The ""big bang"" theory is ridiculous, can not be proven, and should not be taught in schools.",0,11/4/2007,159.86666666666667,Science,mmadderom,lvisman96
47,Abortions are wrong... No matter the circumstance....,0,11/5/2007,159.9,Health,Kandace_Sisney,lvisman96
48,Smoking should be banned.,-1,11/6/2007,159.86666666666667,Society,lvisman96,Nimrod
50,hillery clinton,0,11/6/2007,159.83333333333334,Politics,masterdebator,james94
51,Banning the death penelty.,0,11/7/2007,159.76666666666668,Religion,italia4356,lvisman96
52,"Taking the word GOD out of all things pertaining to government e.g. ""pledge of alligence"" dollar bil",0,11/7/2007,159.76666666666668,Religion,italia4356,james94
53,"If a business wants to allow smoking then the so be it, government should stay out!",0,11/7/2007,159.76666666666668,Politics,italia4356,lvisman96
54,Making room to put a nutrition class in grade school through high school.,0,11/8/2007,159.8,Education,italia4356,gonovice
58,Should schools be able to add an extra 2 hours a day and five extra days a year?,0,11/10/2007,159.73333333333332,Education,james94,smileymia24
61,Where the states money should go.,0,11/11/2007,159.83333333333334,Society,cool,Nahna
63,Illegal Immigration: Should we deport all illegal immigrants we find in the U.S.,0,11/12/2007,159.63333333333333,Politics,RepublicanView333,Harlan
64,Character is best forged by Mental Pain,1,11/12/2007,159.63333333333333,Society,lvisman96,easy2know
68,Iraq should form a federation,0,11/13/2007,159.6,Politics,iamsano,james94
70,The Children Of Today Have An Edge Over The Adults In Exposure And Opportunities,0,11/13/2007,159.63333333333333,Society,crronaldo180,omair007
74,Gay Marriages,1,11/14/2007,159.53333333333333,Society,cequa_11,goldspurs
75,Topic: Anarchy,0,11/14/2007,159.6,Society,lvisman96,Harlan
76,Banning Pit Bulls,0,11/14/2007,159.7,Society,cequa_11,babygirl19906
77,nature is a threat to humans,0,11/15/2007,159.56666666666666,Society,zubster_rox,Wang
79,THBT we should boycott the Beijing Olympics for security,0,11/15/2007,159.56666666666666,Politics,paul_tigger,Wang
80,Should Euthanasia and assisted sicide be legal?,-1,11/15/2007,159.5,Society,Ragnar_Rahl,Lyndsee
81,Do you think the doctor should be able to take your life support away without your families consent?,1,11/15/2007,159.53333333333333,Society,iamsano,Lyndsee
83,Cloning Humans for reproductive purposes.,0,11/16/2007,159.5,Science,gonovice,Harlan
84,Are NASCAR drivers athletes?,0,11/17/2007,159.46666666666667,Sports,righty10294,MichaelJ
85,Should schools be able to give out birth control to middle school girls?,0,11/18/2007,159.43333333333334,Health,my_randomness,gonovice
86,EUTHANASIA BE LEGALIZED IN THE PHILIPPINES,0,11/20/2007,159.4,Society,vohne,raissaguldam_cassiopeia
87,parallel universes vs religion and other scientific theories and finds,0,11/20/2007,159.4,Science,Joel_Asher,Ragnar_Rahl
88,Abortion : Pro choice is the way to go!!,0,11/20/2007,159.4,Health,gonovice,qtpi2008
90,Illegal Immigration: Should we deport all illegal immigrants we find in the U.S.,3,11/20/2007,159.36666666666667,Politics,RepublicanView333,Harlan
91,STUDENT AT ALL KANSAS CITY MISSOURI SCHOOL DISTRICT SHOULD BE ABLE TO BRING CELLS PHONES INTO SCHOOL,0,11/21/2007,159.36666666666667,Education,mudder-pooh,RepublicanView333
94,Are republicans just stuck up christians with too much money?,0,11/22/2007,159.26666666666668,Politics,gonovice,RepublicanView333
95,Should students be allowed to carry cell phones with them?,0,11/22/2007,159.3,Education,gonovice,smileymia24
99,Verbal communication is more harmful than beneficial to the world...,0,11/23/2007,159.3,Society,sidlee03,MichaelJ
101,"Pro-Life, The only way to ensure innocent lives are not lost.",0,11/24/2007,159.23333333333332,Health,goldspurs,gonovice
102,bulding rest houses for tourist in national parks.,0,11/25/2007,159.23333333333332,Education,Ragnar_Rahl,joshua_13
104,"Leave Iraq immediately, and a while ago if possible.",0,11/25/2007,159.16666666666666,Politics,Ragnar_Rahl,iamsano
105,Spongebob Squarepants does drugs.,0,11/25/2007,159.2,Entertainment,Harlan,sidlee03
106,THBT: Voluntary Euthanasia shall be legalized.,0,11/26/2007,159.16666666666666,Society,LianFex,iamsano
107,Civil Rights in businesses does nothing more then mask the problem and should be abolished.,0,11/26/2007,159.2,Miscellaneous,italia4356,Retrospace18
111,"sports cars, lambergihni is better than the ferrarri",0,11/26/2007,159.16666666666666,Sports,firegxx66,righty10294
112,Pro-Choice,0,11/27/2007,159.1,Health,greenlove,PreacherFred
113,peace is the way not war for independent govt.,0,11/27/2007,159.16666666666666,Politics,james94,manishagni2004
114,"Adding the line ""one state under God"" to the Texas Pledge",0,11/28/2007,159.1,Religion,person_16,audraxheartsxyou
116,pregent women are allowed to be naked for porn,0,11/28/2007,159.13333333333333,Health,deltadebate11,manishagni2004
117,is the three strikes law a good idea?,0,11/28/2007,159.13333333333333,Society,magpie,alicattt
119,Should a person die for killing someone? Including children.,0,11/28/2007,159.06666666666666,Entertainment,audraxheartsxyou,BigPlayer098
120,We should have a quota in the English Premier League.,0,11/28/2007,159.13333333333333,Sports,nerdyandnotsoproud,iamsano
121,"Resolved, that castration be legalized in the Philippines",0,11/29/2007,159.1,Society,raissaguldam_cassiopeia,francis
124,Abortion should be outlawed,-5,11/29/2007,159.03333333333333,Politics,righty10294,Retrospace18
125,Is Homosexuality wrong?,0,11/29/2007,159.03333333333333,Society,nerdyandnotsoproud,Retrospace18
127,Resolved: That showbiz personalities be banned from entering politics,0,11/30/2007,159.06666666666666,Politics,catherine,raissaguldam_cassiopeia
130,chad johnson is better than dwayne bowe,0,12/1/2007,159.0,Sports,kc_hooper,Conspicuous_Conservative
131,PETA is a scam for money.,1,12/1/2007,158.96666666666667,Politics,VbPeppermint,Harlan
133,"Are ""old"" bands really better than newer ones?",0,12/1/2007,158.96666666666667,Arts,zainie143,BravesFan33
135,Should we ban video games?,1,12/2/2007,158.93333333333334,Entertainment,christ88,yoon172
136,Myspace Shouldn't Be Blocked.,0,12/3/2007,158.93333333333334,Society,audraxheartsxyou,nerdyandnotsoproud
137,Circumsicion is necessary and ethical.,1,12/3/2007,158.9,Health,jemual,buletman
139,There is no such thing as a decent scary movie these days,0,12/3/2007,158.93333333333334,Entertainment,person_16,buletman
140,Immigrants saves an American boy,0,12/3/2007,158.93333333333334,Politics,Dancer4,paul_tigger
142,Mac is more user friendly and more efficient than a PC,1,12/3/2007,158.9,Technology,tahoe8,Phil
148,BORDER FENCING,1,12/8/2007,158.73333333333332,Politics,frank_gore_is_da_best,Demosthenes
149,prostitution must be banned,0,12/5/2007,158.9,Society,earl_alcala,eurie_leadworth
151,George W. Bush is a good president.,0,12/6/2007,158.8,Politics,nerdyandnotsoproud,BravesFan33
